-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,116,118,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,117,119,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,118,114,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,116,118,114,-1,-1,-1,-1,-1,-1,-1,-1,117,119,115,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,117,119,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,-1
-1,-1,116,118,114,-1,-1,-1,112,112,112,112,-1,-1,116,118,114,-1,-1,-1,-1,-1,100,99,-1
-1,-1,117,119,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,119,115,-1,-1,-1,-1,-1,-1,99,-1
-1,-1,-1,-1,-1,-1,-1,-1,87,87,87,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-1
-1,-1,-1,-1,112,112,112,-1,116,118,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-1
-1,-1,-1,-1,-1,-1,-1,-1,117,119,115,-1,-1,-1,116,118,114,74,62,-1,-1,-1,-1,99,-1
-1,-1,-1,-1,87,87,87,87,-1,-1,-1,-1,-1,-1,117,119,115,33,31,-1,-1,-1,-1,99,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,24,18,-1,-1,33,31,-1,-1,-1,128,128,128
-1,-1,-1,-1,-1,-1,95,95,95,95,-1,-1,-1,28,-1,-1,-1,33,31,-1,-1,-1,144,131,144
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,33,31,-1,-1,-1,130,132,129
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
